gold_left,sum_unit_tier,mean_unit_rarity
1,17,4.4
61,15,2.125
0,15,1.875
1,15,2.5
4,15,2.625
0,19,3.0
0,14,4.125
64,18,3.1
0,17,2.7777777777777777
12,20,3.727272727272727
1,17,3.3
23,13,3.333333333333333
1,19,2.5
4,16,2.4444444444444446
7,9,4.75
12,20,4.4
2,12,4.5
1,18,3.5
3,18,1.375
4,19,2.0
0,13,2.4444444444444446
24,16,4.4
0,15,2.5
6,16,4.111111111111111
16,17,3.8
1,15,3.2222222222222223
0,14,2.375
3,16,3.111111111111111
5,18,3.7
0,20,4.363636363636363
2,17,2.6666666666666665
11,18,2.375
54,14,3.333333333333333
0,16,4.111111111111111
50,18,1.5
0,12,3.857142857142857
1,19,2.0
1,13,2.625
2,16,3.7777777777777777
2,16,4.222222222222222
3,17,2.375
2,15,1.7142857142857142
0,14,3.25
2,19,3.888888888888889
0,15,2.25
1,15,2.7777777777777777
0,18,4.181818181818182
3,17,2.8
12,13,1.0
0,15,1.75
4,17,3.3
1,18,1.375
4,16,3.0
22,15,2.0
3,11,2.875
1,22,2.909090909090909
31,17,2.7
2,18,2.875
41,17,0.8571428571428571
1,23,4.538461538461538
1,15,2.7777777777777777
7,21,3.8181818181818175
2,13,2.25
1,17,3.3
2,21,3.6
13,19,4.3
4,17,3.7
34,19,3.111111111111111
10,15,3.555555555555556
52,17,3.7
0,21,2.4444444444444446
2,13,3.5
4,21,5.333333333333333
9,20,1.3333333333333333
0,10,3.0
1,16,4.2
38,15,2.875
1,16,2.375
6,21,4.833333333333333
9,16,3.8
4,18,3.0
1,21,3.111111111111111
1,13,2.875
3,14,2.4444444444444446
1,12,2.0
4,15,3.333333333333333
3,15,3.2222222222222223
0,17,3.8
1,19,3.3
12,17,4.727272727272728
1,15,2.888888888888889
9,20,3.1
5,15,3.125
5,21,4.416666666666667
1,20,1.25
3,15,3.625
1,17,3.2
1,13,3.888888888888889
0,17,1.5
27,16,1.5714285714285714
4,15,3.6666666666666665
37,13,1.8333333333333333
1,21,5.0
1,15,1.7142857142857142
0,13,2.7777777777777777
4,18,4.2
8,15,3.111111111111111
0,16,3.555555555555556
0,15,3.333333333333333
0,16,3.111111111111111
18,16,2.333333333333333
1,16,4.4
1,16,3.3
1,13,2.7777777777777777
0,13,2.375
22,19,4.4
1,22,2.6666666666666665
2,16,3.0
1,19,3.1
0,18,4.0
21,15,1.0
30,17,0.8571428571428571
0,16,4.4
2,17,4.181818181818182
1,14,2.888888888888889
51,13,2.0
1,20,3.7
0,14,3.875
0,17,2.555555555555556
0,14,2.5
0,16,1.875
2,13,2.6666666666666665
1,15,4.2
0,16,2.0
1,18,3.636363636363636
0,11,2.4285714285714284
0,16,4.0
0,20,3.727272727272727
4,16,3.111111111111111
0,13,3.6666666666666665
1,15,4.0
0,16,1.7142857142857142
3,13,3.0
10,17,1.75
40,15,2.875
0,13,2.75
0,16,3.363636363636364
4,15,2.2222222222222223
2,14,2.4444444444444446
2,15,3.125
42,14,3.333333333333333
2,16,3.0
0,14,3.0
0,14,1.625
1,19,4.4
0,14,2.625
21,17,3.0
0,12,4.5
1,16,3.1
1,14,3.0
1,17,2.6666666666666665
1,19,3.0
2,23,2.909090909090909
0,13,3.375
10,20,1.25
10,17,3.7
3,21,3.272727272727273
0,15,4.222222222222222
5,21,0.75
3,17,2.7777777777777777
4,20,1.375
0,13,2.888888888888889
2,15,2.0
2,13,2.142857142857143
3,15,2.5
3,15,2.75
24,20,1.0
15,12,3.25
24,13,2.875
31,19,3.5
5,24,5.25
5,16,3.111111111111111
3,19,1.25
1,18,3.333333333333333
0,17,3.4444444444444446
5,16,2.375
28,18,1.875
0,15,1.75
3,20,3.7
0,12,3.0
19,16,2.375
1,12,0.6666666666666666
41,18,3.333333333333333
11,18,2.625
22,16,2.6666666666666665
0,14,3.555555555555556
40,16,3.6
0,19,3.3
0,14,4.0
0,14,3.333333333333333
9,22,3.4545454545454546
1,16,1.75
6,20,2.0
0,17,1.7777777777777777
1,16,3.111111111111111
0,16,2.6666666666666665
0,13,2.888888888888889
0,16,2.25
13,20,4.4
3,17,3.8181818181818175
1,13,2.625
0,19,4.090909090909091
51,21,2.8
0,15,3.888888888888889
0,11,2.0
11,20,1.25
0,17,2.7777777777777777
26,19,2.6666666666666665
0,15,1.875
0,13,2.555555555555556
2,14,1.7142857142857142
10,13,3.0
0,20,3.3
1,14,1.7142857142857142
21,20,4.2
0,18,5.181818181818182
1,14,2.625
32,16,1.75
35,17,0.8571428571428571
30,18,2.7777777777777777
50,18,2.75
10,20,4.2727272727272725
12,15,2.0
0,12,2.5
3,16,2.888888888888889
3,15,4.0
62,17,3.0
6,19,4.3
0,21,3.1818181818181817
16,17,3.333333333333333
0,19,3.5
55,19,1.0
1,14,4.6
3,17,3.6
0,14,2.875
5,13,4.0
0,16,2.4444444444444446
1,14,2.333333333333333
1,16,2.555555555555556
6,17,3.333333333333333
3,19,3.5
1,13,2.25
0,16,3.2
1,14,2.6666666666666665
1,16,2.6666666666666665
0,17,2.6666666666666665
0,18,3.8
4,17,4.0
0,11,3.0
0,17,2.75
20,11,1.3333333333333333
0,15,2.555555555555556
1,10,2.625
7,16,3.888888888888889
1,16,4.3
0,14,2.5
0,15,1.1428571428571428
2,17,2.555555555555556
1,20,3.1
5,18,3.9
0,14,3.625
1,14,2.0
0,15,3.111111111111111
0,16,2.555555555555556
