gold_left,sum_unit_tier,mean_unit_rarity,placement
40,14,2.375,5
0,10,2.25,8
4,13,4.333333333333333,6
0,18,3.090909090909091,4
1,15,2.75,7
64,17,3.0,1
13,16,3.2222222222222223,2
2,18,1.875,3
3,13,2.75,8
0,15,2.5,5
4,20,2.6,1
0,13,2.375,6
1,14,3.6666666666666665,4
1,17,5.1,3
0,16,3.333333333333333,7
20,20,2.555555555555556,2
0,12,2.625,7
1,22,2.909090909090909,4
42,15,4.1,3
1,16,2.0,5
0,13,2.375,8
1,18,3.0,1
34,17,2.0,2
1,13,1.6666666666666667,6
51,20,3.6666666666666665,4
3,13,2.0,8
0,15,1.875,5
4,19,1.5555555555555556,6
61,15,3.0,3
6,12,5.25,7
59,21,4.636363636363637,2
5,18,2.8,1
25,19,2.0,1
0,13,2.125,8
0,19,1.6666666666666667,6
27,20,2.111111111111111,3
0,17,2.888888888888889,2
1,12,1.6666666666666667,7
0,12,4.25,5
1,16,2.875,4
0,17,3.111111111111111,4
1,15,3.333333333333333,5
3,19,3.4444444444444446,2
6,19,4.3,3
19,16,3.333333333333333,6
2,21,3.0,1
0,14,1.875,8
33,14,2.75,7
1,18,3.333333333333333,1
1,13,2.75,8
0,14,3.0,5
2,18,4.1,7
1,18,2.6666666666666665,2
1,14,3.333333333333333,6
30,18,2.333333333333333,4
0,17,2.7777777777777777,3
1,19,3.5,2
1,17,3.3,1
0,17,3.4,4
1,14,4.0,8
0,15,2.4444444444444446,5
1,18,2.9,3
1,16,3.2222222222222223,6
1,13,2.25,7
59,18,3.2,1
2,19,5.0,3
0,13,1.1666666666666667,7
2,15,0.7142857142857143,8
0,10,3.25,6
1,17,3.5,5
1,16,3.333333333333333,2
1,16,4.3,4
54,19,2.75,1
0,18,3.6,4
1,19,2.555555555555556,3
19,16,3.125,2
0,15,2.555555555555556,7
1,11,2.875,8
0,17,2.7777777777777777,6
4,18,1.25,5
0,17,0.7142857142857143,8
1,16,3.333333333333333,4
7,17,2.0,5
2,17,3.111111111111111,6
5,17,3.6666666666666665,3
5,16,3.7777777777777777,2
4,15,2.2222222222222223,7
4,21,5.083333333333333,1
