game_length,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players
2240.7236328125,40,28,1,1676.47705078125,61
2240.7236328125,0,21,0,1216.5638427734375,15
2240.7236328125,4,27,0,1608.7337646484375,47
2240.7236328125,0,33,1,1934.66357421875,94
2240.7236328125,1,26,0,1548.25830078125,46
2240.7236328125,64,38,1,2227.556396484375,183
2240.7236328125,13,38,2,2227.556396484375,152
2240.7236328125,2,34,2,2003.998046875,124
2268.46044921875,3,26,0,1558.9542236328125,31
2268.46044921875,0,30,1,1790.383056640625,85
2268.46044921875,4,38,3,2255.3291015625,198
2268.46044921875,0,28,0,1697.030029296875,65
2268.46044921875,1,34,0,2035.9725341796875,81
2268.46044921875,1,37,3,2188.5634765625,118
2268.46044921875,0,28,0,1698.1815185546875,69
2268.46044921875,20,38,1,2255.3291015625,141
2023.641357421875,0,27,1,1546.1083984375,59
2023.641357421875,1,30,0,1712.0496826171875,76
2023.641357421875,42,33,1,1881.8834228515625,105
2023.641357421875,1,30,0,1713.501708984375,77
2023.641357421875,0,26,0,1487.432373046875,51
2023.641357421875,1,35,3,2010.47314453125,197
2023.641357421875,34,35,2,2010.47314453125,132
2023.641357421875,1,28,0,1610.7666015625,72
2378.227783203125,51,33,1,1970.009521484375,74
2378.227783203125,3,26,0,1555.2509765625,40
2378.227783203125,0,31,0,1872.40966796875,67
2378.227783203125,4,30,0,1818.4617919921875,69
2378.227783203125,61,38,1,2271.766845703125,133
2378.227783203125,6,30,0,1802.8902587890625,67
2378.227783203125,59,40,2,2365.70703125,165
2378.227783203125,5,40,3,2365.70703125,207
2152.689453125,25,35,3,2139.51904296875,215
2152.689453125,0,27,0,1657.1636962890625,50
2152.689453125,0,28,0,1732.547607421875,66
2152.689453125,27,33,0,1996.0511474609373,112
2152.689453125,0,35,3,2139.51904296875,127
2152.689453125,1,27,0,1657.6644287109375,39
2152.689453125,0,30,1,1821.0709228515625,78
2152.689453125,1,31,0,1886.4503173828125,100
2195.19677734375,0,35,2,2091.775634765625,109
2195.19677734375,1,33,0,1962.03564453125,98
2195.19677734375,3,37,2,2182.028076171875,149
2195.19677734375,6,35,0,2095.180419921875,121
2195.19677734375,19,30,0,1788.9661865234375,71
2195.19677734375,2,37,3,2182.028076171875,170
2195.19677734375,0,26,0,1551.2498779296875,36
2195.19677734375,33,28,0,1685.9671630859375,63
2063.623046875,1,35,2,2051.107177734375,160
2063.623046875,1,27,0,1607.57958984375,45
2063.623046875,0,30,1,1771.5838623046875,86
2063.623046875,2,28,1,1664.405517578125,52
2063.623046875,1,35,2,2051.107177734375,152
2063.623046875,1,30,0,1761.7647705078125,87
2063.623046875,30,33,0,1932.8892822265625,111
2063.623046875,0,34,0,1990.07958984375,122
2344.896484375,1,40,1,2330.326904296875,169
2344.896484375,1,40,2,2331.728759765625,174
2344.896484375,0,33,1,1955.795166015625,98
2344.896484375,1,26,0,1583.5633544921875,30
2344.896484375,0,31,1,1864.362060546875,88
2344.896484375,1,37,1,2181.188232421875,148
2344.896484375,1,31,0,1862.6097412109373,80
2344.896484375,1,27,0,1597.35986328125,40
2118.58642578125,59,35,2,2105.416259765625,152
2118.58642578125,2,35,0,2104.765380859375,129
2118.58642578125,0,28,0,1758.45556640625,64
2118.58642578125,2,27,0,1691.796142578125,42
2118.58642578125,0,28,0,1754.4915771484375,41
2118.58642578125,1,34,0,2090.4697265625,107
2118.58642578125,1,35,0,2105.416259765625,114
