match_id,game_length,puuid,gold_left,last_round,players_eliminated,time_eliminated,total_damage_to_players,placement
NA1_5214474372,2240.7236328125,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,40,28,1,1676.47705078125,61,5
NA1_5214474372,2240.7236328125,CSZABWFZly3iWPGGobYZhYk9knB5J0-pUQbO02Zx85ShQvwlSi8lFmkjjCwfsjcbGIXkMnPu_PT1TQ,0,21,0,1216.5638427734375,15,8
NA1_5214474372,2240.7236328125,B_mWPVRiuzGR-eUTN6CDIwkjbf_PXOmitrSgK3r-Yo38gKM2J_Lhrtuo2OU8LtdT19BJcs_xAguNFQ,4,27,0,1608.7337646484375,47,6
NA1_5214474372,2240.7236328125,_W30FKv18DHc61O6J_7rVUV5nrp779aWIE3MSuA0YS9McuLiZQ3MjmqSmKxOAw-jN3j4YYQfWKwuPQ,0,33,1,1934.66357421875,94,4
NA1_5214474372,2240.7236328125,-rQ5Ep_GYZG2QjV9oB3GnGS494CbFg7oZWjGYLBKMW9eflCZpYHFOn0U6sUBDTiYwXMHhdcgSFKIOw,1,26,0,1548.25830078125,46,7
NA1_5214474372,2240.7236328125,gv7EzJtWaKD4ybOXDkCLGvi_SdzrtrCWci69Svqc633_NReYANjc5CdJh1FcESAnkbzXgE4IE6e_cA,64,38,1,2227.556396484375,183,1
NA1_5214474372,2240.7236328125,5ytZRjBw2aUE3pajodzjagTkRT90komWQW-HVLPvtZW2ghY8pq6tl1mRxU5o1QfwdV9hsg6n5fKGNA,13,38,2,2227.556396484375,152,2
NA1_5214474372,2240.7236328125,1N_5cHLRX2bnDo1EabSVh_QPorkZUNXfNrPrj7O2VFxraMu-kKB6inLcw-4sHOVkZnvl04duOjaFAg,2,34,2,2003.998046875,124,3
NA1_5211984732,2268.46044921875,EHK2RNUJ4dPxfsA1gWCIwDzWI_n24e0M4tE8vIWvHytqc5sTr4fKLlaMHBBoKKHZrQs3bTXwM-Yb0g,3,26,0,1558.9542236328125,31,8
NA1_5211984732,2268.46044921875,cRD2_VHnIxifagTzVTOtcXCUvbwHYU_86N2oPFM5KVb_UFBkixHHwo1Hd4r_n4HCqkke9BKFZaFFEg,0,30,1,1790.383056640625,85,5
