match_id,puuid,gold_left,placement
NA1_5214474372,VKwva7riXrRpNn_pQCF7Gx63CYKG4PxcbND2JnL3Tcceb6VFvy5_Y_4GvrsZ0-zHESntp_0VsbX3xA,40,5
NA1_5214474372,CSZABWFZly3iWPGGobYZhYk9knB5J0-pUQbO02Zx85ShQvwlSi8lFmkjjCwfsjcbGIXkMnPu_PT1TQ,0,8
NA1_5214474372,B_mWPVRiuzGR-eUTN6CDIwkjbf_PXOmitrSgK3r-Yo38gKM2J_Lhrtuo2OU8LtdT19BJcs_xAguNFQ,4,6
NA1_5214474372,_W30FKv18DHc61O6J_7rVUV5nrp779aWIE3MSuA0YS9McuLiZQ3MjmqSmKxOAw-jN3j4YYQfWKwuPQ,0,4
NA1_5214474372,-rQ5Ep_GYZG2QjV9oB3GnGS494CbFg7oZWjGYLBKMW9eflCZpYHFOn0U6sUBDTiYwXMHhdcgSFKIOw,1,7
NA1_5214474372,gv7EzJtWaKD4ybOXDkCLGvi_SdzrtrCWci69Svqc633_NReYANjc5CdJh1FcESAnkbzXgE4IE6e_cA,64,1
NA1_5214474372,5ytZRjBw2aUE3pajodzjagTkRT90komWQW-HVLPvtZW2ghY8pq6tl1mRxU5o1QfwdV9hsg6n5fKGNA,13,2
NA1_5214474372,1N_5cHLRX2bnDo1EabSVh_QPorkZUNXfNrPrj7O2VFxraMu-kKB6inLcw-4sHOVkZnvl04duOjaFAg,2,3
NA1_5211984732,EHK2RNUJ4dPxfsA1gWCIwDzWI_n24e0M4tE8vIWvHytqc5sTr4fKLlaMHBBoKKHZrQs3bTXwM-Yb0g,3,8
NA1_5211984732,cRD2_VHnIxifagTzVTOtcXCUvbwHYU_86N2oPFM5KVb_UFBkixHHwo1Hd4r_n4HCqkke9BKFZaFFEg,0,5
NA1_5211984732,o3jzsKHXrWpdEC3sU-FBFrzhSDmU2oqcJp8IDiZG5_46phb9lhswzi7gDXYNfyl2dP2n-O6gmKHeUw,4,1
NA1_5211984732,1N_5cHLRX2bnDo1EabSVh_QPorkZUNXfNrPrj7O2VFxraMu-kKB6inLcw-4sHOVkZnvl04duOjaFAg,0,6
NA1_5211984732,_r62xFHIHPUDITs9vE8J8lZXIU-aq0sj9cpSIlMQVcTpa3-ZSx7VmLph9xigi5jmhYSXQa0qZZ8x0A,1,4
NA1_5211984732,9orK78alcuWMxmdifdVL8yjg5WJX1CLMXNeXz1thxMhFddk-fODEfNGfXhhiC8OQDXme_P6eSyOlGQ,1,3
NA1_5211984732,l91WSfvJQYHEr3Q88dz9xeTNKN43jcsMBhNhkIqVJwes9BiZiUlfv2AFgvMHh11PKiowwBg_2ABMvw,0,7
NA1_5211984732,47DPX9CyAlyo0ukAgIFkr1-t-dtPNEPEpWcCoxtqyR0GWwx14RWXh0PWOnkkL2dA7c3t6qTUHyU1Nw,20,2
NA1_5221598410,mZ8uB1t0pLZkfyaWt9OVFaVo0_JUp4TzBGG4MyWqs9S5BZUq4ManV5lzwe-HTmGrtas0vaJNi1GJ7A,0,7
NA1_5221598410,M-Paim4NsuQUBvBTMxHMaedFuVtBxzeRAEl8_WvI9KbhDhLj-mQYfk8xYD7BH5AHI1no6kS1GcmAzQ,1,4
NA1_5221598410,lTdHboQgSu8XHvCsPwK_8icEs3eYEafhQrGVWfI3GzUaHF3o0BT2hM1NKb0jitTFu48BjLk-hGyl4A,42,3
NA1_5221598410,rNKwIp4CjcUVTAYsMf3IfV2pY71Q13sq3dUMjdBH3H8F08iCtnl9A8q9MEcI5pwWelnkjeoq3Y7fng,1,5
NA1_5221598410,aQN4KjiluSy_3LjpOfxSOwGsPFsp_4V2UwapMV2ywBoaXs0kp865yOMiGTZcs86jyEzmGNFUHcaxxw,0,8
NA1_5221598410,I0s7liDfFwy6yuy8FddMkgd3DK64INsKo6RIkDY5WdoDfprW6pdXxv9TZMnhEnC0j85sOe0AN7uCTw,1,1
NA1_5221598410,w_Y7hBFo3ZLCe63fLeQUHMMpU9sSf4jjQsaDlbwYpLwH1T45arCBzMr5hoU-d-wtS3t2pZZSKH9kqQ,34,2
NA1_5221598410,C_ikbbu9ZXN5UkU2kxiOikUayng1tJ3SrqzgsLHEWaYBJbRAl7ZbuC7tjq0Ooev6qxyZv3a4bj6K4Q,1,6
NA1_5217973412,7KfVILP-wpGZhFkhkPof71G4c4nSdUT1Ep6VOLvpLDYUd_CMKA0Pfwgeto0e_cXi104Ss7mfJBxRcQ,51,4
NA1_5217973412,0J9mm_BxGSzM47j3st1tl0CFBEUvM8uXCtWkH6HJjHJZ4tjk1LiEgNKaL3I5rniWpCerE9AYt76t6Q,3,8
NA1_5217973412,EWFmzdWAAwB4XWADfJYs-wC5TkwvdxAnfLAo2Om8Y-C-N0FKg7sAYZStg02VsNibUmI9nLRhoxjNaw,0,5
NA1_5217973412,NXGti4ShGf34geHUkXN3Lcc72-yD5X2YhVdf8nxuu0lMv-tlBLxZtOHQbGZcE_TMVuwcy113ciMpFQ,4,6
NA1_5217973412,Bq8U1C08x7Rt1OKdw6XdzPruLBQ8szMThKJkZQPwqAnD38-US0TRvHlDwhCQjPBqGf4PtA-fl28dWw,61,3
NA1_5217973412,XreB7KXOYgWNQUW_yiLNBtT5vRjO48W3aJME7OuiiPSh0HffUwnN-6vx5wfG0ZC49cYflmKpD8zR_Q,6,7
NA1_5217973412,VyyXhA8jKQ8_mGqg7q7JOT0lUgDmffD7ZYPUnIWEFgMRDdFRmvjeoXeatXnb2QLub7nhlIPsPpQNfg,59,2
NA1_5217973412,h5oWESOruRuxtX7Sqn8ls9ZcHM0gOp4ntNWgwYKO8mojcU7Gm5QZeNyh0qeLUlCyCaELogqds3kRsg,5,1
NA1_5221647656,tWUStdgWHPH1ue_bJyubPVUHw-pMPhwz3tirU5Vow1Yooh8um_e6KZOd5XBmpNmQHXsdMnsemqVQLQ,25,1
NA1_5221647656,eUnwSLQRY9aKrVmp8JTay8f0tKf_frArl9gqcee2iRiIf4RMjERqFxbLybb_4mut4kiRs43aJOg7pw,0,8
NA1_5221647656,pApqIJtrj0MTSzP1DmfssUOA20_uPraJ4HIXGleI-k3EIgIjc_A6lLJnaowgBct_4E2iiSbmzjq2Aw,0,6
NA1_5221647656,9Ro7MXjavXHqM4f_51_jJldegjQNHQBoBLxxJiZdyuEG_qS4Aul0r5bRYsy0LT69AK1kjlEniqsCnw,27,3
NA1_5221647656,IGrUD-DARwNYZy6feXWdljC6-VskhY97y6z5wSYnmSi2AHyVa6zDbmFnsApurkx5sV0EshcJjjEBwg,0,2
NA1_5221647656,DEoivi0pUXTW62pyS3euw-8D63KSXb3jA-JwOqp9LmtDEPvq157ub-WHwAL07yNv-xYgKIvHEuJ5kw,1,7
NA1_5221647656,gX6IF2UDNUE55Ri_H92GERCkgLjNAy656J8DivanygRFAQeXlNa_nRakxvQdhR60sA7jQorVpSC-lw,0,5
NA1_5221647656,7R4uhPR_2kc8MuzH7DpY9BhDAsLlxbA8f_d7fGdKku0X1iyRnBKZpRsxj8GburV3EjzVjW7T1HjutA,1,4
NA1_5221744924,AypW6DBZcq88edZm3SNrstsAhKLCwsaADHZP1w4HGE_wM-KcdZ_NL0Ym1C1GhSgz5ZtHOFKvb4ssnQ,0,4
NA1_5221744924,BRkb2tu-67Nfw6_74JAf401wDsdZh8DClo-DY2vUCTzbo-Ifqg7Mac7pcRN33EXlUNLBCMwIE6b2uA,1,5
NA1_5221744924,TyayXmI2YlmDobeBBYQKvDw9LtYuyPv698AovmR9tMr_xzr-sZJ3f61tn1wqREYLgHb9t4vafR2tNg,3,2
NA1_5221744924,BXXGrNy5ExLBze1Ol1xz72_ikyaaczMlLiCsKDLuLwEcP1k97lG9qj-5CuSzZAvGUGkBM6Y2NHR-tA,6,3
NA1_5221744924,ZL3VgZXs_JIK7kAdFPqvmlEsC8UneyJ93ds-pNJS0wQdHNtBGON1qCSxHxLMtUaC2YIzgu2I5NLjYQ,19,6
NA1_5221744924,ANTi0B1f-qRec08EUXBoB95ss65S2YZez8CfYL1FY5s-3weW2SaP3A0yhgftfJou3CuwYAMQKcLbpQ,2,1
NA1_5221744924,r_dWTcNDB9cjRXCs8WHRHnGZItckOdmyBWpiThTm9pDhw2JfnXOhCp7Us-kyahz6p14zxSWeqhY64A,0,8
NA1_5221744924,lQe00MCUHPnOauY4fQxgYMoIebTEIixSilL7XXYiFaxbTosqndpAjW55o6-_WInlUtsvhOKw5Vnqmw,33,7
NA1_5219949238,QKAlhzpr5Q144fHURfE_ibnLsFKHzDWRPVwp9M0fQf4yNj5D-u6Q5u2o4xRB6aiH4G5Xo9Cjor3UmQ,1,1
NA1_5219949238,UK7SD8_wzHLBaACVZg9wwnVL4a7nryv189z5HOfcRj5NwXduOZ1XpvY0aSDDaq0dlBO_JnfCrs7UIw,1,8
NA1_5219949238,G8O22skjXgZ7o53EmZUWdIp4UzrmkP2viXbxmeOvkpyau4f8Fvwa5kiOytg7zuCL_HgeXQOf3oKzVw,0,5
NA1_5219949238,w_Aw8ZLfUAQcdM09SzRnmduCXdH3CJ-BUVNq5v8DfRxvpCQPAiTAlsF5YfWLYBe1ewiyJtNuUHNWfg,2,7
NA1_5219949238,9cwLypHvcl7bdoE1TjehpQqElhdyRMMj22Lvq2T5qFvwI8TIe4XY3KzMMjLHL_HnT6V68FwFZUWioA,1,2
NA1_5219949238,z9ZACX-9dNNHQFOAQSlxT3pjAhhUp_WBIrGuWo7Vn4NTfqoQcnYeE7svccWV2HvJ1baXeXQI3z_QYg,1,6
NA1_5219949238,jGNRkf-PoKrO0I_Vhxx0c_Ebs70qZlHTZ6_vWHtd8hiUnmK55-6lj-n6LRHMNm9y7RzIuXlVBTsWGQ,30,4
NA1_5219949238,mYWLsVgHssxrB-VxHvpIcyOvDtZQnidTP7Wb7mozZvyn8E693bcyVbPphzv9wtPwKAoDQHhVLFUyLw,0,3
NA1_5217191911,laqmlYy6Pcg0RCLPdIrFEYIBJr5kOrl5iHHq5z9i9bBh-RGzv4Tr7t-Liq2pLUGI2wYhS9hfMQZTPg,1,2
NA1_5217191911,MICYFi9f9qBIA5Qnrai5KxN3pFe9Vmd8FlL7BHmTXjjEMGFu99RPajgk6Ut6QlnPeVGdi-yyPjDd8w,1,1
NA1_5217191911,blNSeyennJFncW9nV8mJYHLx32If4AeagXC-Szecn2SWEWOlena1epCoEjVAejRlJg48aiL19_9hmg,0,4
NA1_5217191911,rosuKc_8yil7N7g0Zw4-gLn_ZAW5Uk0BYC5xXcgTuThkfnf1GvkPJ2sWfv1SVcepz0cgwAe9Z0oU2A,1,8
