antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'TFT13_Cabal', 'TFT13_FormSwapper'})",frozenset({'TFT13_Bruiser'}),0.524145617,0.676541605,0.487462853,0.930014174,1.374659249,1,0.132856536,4.621770083,0.572752938,0.683463542,0.783632681,0.825267897
"frozenset({'TFT13_Cabal', 'TFT13_Bruiser'})",frozenset({'TFT13_FormSwapper'}),0.533803863,0.654531947,0.487462853,0.913187196,1.395175897,1,0.138071171,3.979459662,0.607565091,0.695508149,0.748709603,0.82896874
"frozenset({'TFT13_Bruiser', 'TFT13_FormSwapper'})",frozenset({'TFT13_Cabal'}),0.543276374,0.632336553,0.487462853,0.897264957,1.418967405,1,0.143929343,3.578754021,0.646478878,0.708367072,0.72057314,0.834078212
frozenset({'TFT13_Martialist'}),frozenset({'TFT13_FormSwapper'}),0.466196137,0.654531947,0.402674591,0.86374502,1.319637681,1,0.097534327,2.535452673,0.453755133,0.560786342,0.605593111,0.739477504
frozenset({'TFT13_Cabal'}),frozenset({'TFT13_Bruiser'}),0.632336553,0.676541605,0.533803863,0.844176825,1.247782574,1,0.106001877,2.075804159,0.540108968,0.688713156,0.518258986,0.816597678
frozenset({'TFT13_FormSwapper'}),frozenset({'TFT13_Bruiser'}),0.654531947,0.676541605,0.543276374,0.830022701,1.226861283,1,0.100458281,1.902950559,0.535250437,0.689614523,0.474500273,0.816521303
frozenset({'TFT13_Cabal'}),frozenset({'TFT13_FormSwapper'}),0.632336553,0.654531947,0.524145617,0.828902923,1.2664056,1,0.110261142,2.019134744,0.572163399,0.687203214,0.504738352,0.814848737
frozenset({'TFT13_Bruiser'}),frozenset({'TFT13_FormSwapper'}),0.676541605,0.654531947,0.543276374,0.803019904,1.226861283,1,0.100458281,1.753822139,0.57167144,0.689614523,0.429816754,0.816521303
frozenset({'TFT13_FormSwapper'}),frozenset({'TFT13_Cabal'}),0.654531947,0.632336553,0.524145617,0.800794552,1.2664056,1,0.110261142,1.845649556,0.608923359,0.687203214,0.458185333,0.814848737
frozenset({'TFT13_Bruiser'}),frozenset({'TFT13_Cabal'}),0.676541605,0.632336553,0.533803863,0.789018531,1.247782574,1,0.106001877,1.742633841,0.61392231,0.688713156,0.426155985,0.816597678
frozenset({'TFT13_Cabal'}),"frozenset({'TFT13_Bruiser', 'TFT13_FormSwapper'})",0.632336553,0.543276374,0.487462853,0.770891467,1.418967405,1,0.143929343,1.993481517,0.803077323,0.708367072,0.498365051,0.834078212
frozenset({'TFT13_FormSwapper'}),"frozenset({'TFT13_Cabal', 'TFT13_Bruiser'})",0.654531947,0.533803863,0.487462853,0.744750284,1.395175897,1,0.138071171,1.826431557,0.819886225,0.695508149,0.452484274,0.82896874
frozenset({'TFT13_Bruiser'}),"frozenset({'TFT13_Cabal', 'TFT13_FormSwapper'})",0.676541605,0.524145617,0.487462853,0.72052162,1.374659249,1,0.132856536,1.702651858,0.842602944,0.683463542,0.412680875,0.825267897
frozenset({'TFT13_Ambassador'}),frozenset({'TFT13_Warband'}),0.585902675,0.591753343,0.410846954,0.701220479,1.184987777,1,0.064137087,1.366380985,0.376987315,0.535787816,0.268139698,0.697753993
frozenset({'TFT13_Warband'}),frozenset({'TFT13_Ambassador'}),0.591753343,0.585902675,0.410846954,0.694287508,1.184987777,1,0.064137087,1.354531908,0.382389999,0.535787816,0.261737583,0.697753993
